s__Actinobaculum_massiliense,s__Actinomyces_europaeus,s__Actinomyces_neuii,s__Actinomyces_radingae,s__Actinomyces_turicensis,s__Actinotignum_schaalii,s__Actinotignum_timonense,s__Aerococcus_sanguinicola,s__Aerococcus_urinae,s__Alloscardovia_omnicolens,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Anaerococcus_octavius,s__Anaerococcus_prevotii,s__Anaerococcus_vaginalis,s__Atopobium_deltae,s__Atopobium_minutum,s__Atopobium_vaginae,s__Bacteroides_coagulans,s__Bacteroides_uniformis,s__Bacteroides_vulgatus,s__Bifidobacterium_breve,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Blautia_obeum,s__Blautia_wexlerae,s__Brevibacterium_ravenspurgense,s__Campylobacter_ureolyticus,s__Collinsella_aerofaciens,s__Corynebacterium_afermentans,s__Corynebacterium_amycolatum,s__Corynebacterium_aurimucosum,s__Corynebacterium_coyleae,s__Corynebacterium_imitans,s__Corynebacterium_pseudogenitalium,s__Corynebacterium_pyruviciproducens,s__Corynebacterium_riegelii,s__Corynebacterium_simulans,s__Corynebacterium_sp_NML130628,s__Corynebacterium_sp_NML140438,s__Corynebacterium_urealyticum,s__Cutibacterium_avidum,s__Dermabacter_hominis,s__Dialister_micraerophilus,s__Enterococcus_faecalis,s__Escherichia_coli,s__Eubacterium_rectale,s__Facklamia_hominis,s__Facklamia_ignava,s__Finegoldia_magna,s__Fusobacterium_nucleatum,s__Gardnerella_vaginalis,s__Gemella_asaccharolytica,s__Klebsiella_pneumoniae,s__Klebsiella_quasipneumoniae,s__Klebsiella_variicola,s__Lactobacillus_crispatus,s__Lactobacillus_gasseri,s__Lactobacillus_iners,s__Lactobacillus_jensenii,s__Lactobacillus_paragasseri,s__Lactobacillus_vaginalis,s__Lawsonella_clevelandensis,s__Mobiluncus_curtisii,s__Negativicoccus_succinicivorans,s__Peptococcus_niger,s__Peptoniphilus_coxii,s__Peptoniphilus_duerdenii,s__Peptoniphilus_harei,s__Peptoniphilus_lacrimalis,s__Peptoniphilus_sp_HMSC062D09,s__Porphyromonas_asaccharolytica,s__Porphyromonas_sp_HMSC065F10,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Prevotella_bivia,s__Prevotella_buccalis,s__Prevotella_colorans,s__Prevotella_corporis,s__Prevotella_disiens,s__Prevotella_sp_S7_1_8,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Slackia_exigua,s__Staphylococcus_epidermidis,s__Staphylococcus_haemolyticus,s__Staphylococcus_hominis,s__Staphylococcus_lugdunensis,s__Staphylococcus_simulans,s__Streptococcus_agalactiae,s__Streptococcus_anginosus_group,s__Streptococcus_mitis,s__Streptococcus_oralis,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Trueperella_bernardiae,s__Varibaculum_cambriense,s__Veillonella_atypica,s__Veillonella_parvula
666,0,1812,0,0,0,0,161,1402,3590082,639,0,3114,145,0,9532,7321,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,6055,0,0,0,0,0,5368,0,2197,0,0,0,2243,0,55079,0,0,1107,0,0,0,0,0,0,0,0,0,1063,0,0,0,4856,0,30432,12219,0,0,0,632,0,8924,661,0,27281,395,0,34651,0,0,19826,0,0,0,0,0,18789,0,0,0,0,0,4214,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13138061,3087,0,428366,471,11508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48572,46544,0,0,0,64485,62003,125214,0,33471,0,0,6478,11021,0,55636,0,36085,0,0,0,0,0,0,0,168777,158734,2068,0,34940,42131,28923,40543,0,0,15276,4296,10401,4272,148880,0,0,674,4475,0,155,213016,496573,147885,0,0,264,0,0,0,0,0,0,0,0,0,0,0,3851,487,115611,38938,468428,66126,7885,2721,2760,3256,6288,0,30260,0,0,0,0,571143,90522,0,1099,3109,0,99341,29052,57895,717198,0,0,0,3987,0,140397,0,0
0,0,0,0,0,0,0,0,0,0,8442,510186,0,0,488,0,240,1055,0,0,0,0,0,0,614,2272,0,0,144,0,0,0,0,0,0,339,0,0,0,0,0,0,0,23826,0,0,0,0,0,198773,0,0,616,0,0,0,0,0,0,0,0,0,48223,0,0,0,268729,0,352946,0,0,0,7317,1280,0,35916,0,0,0,0,0,114626,0,10442,3984,0,0,0,0,80,202947,0,0,0,9097,0,266521,0,33368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,11811537,163264,0,553301,16024,6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11188,0,4383,3471,0,0,0,0,0,1148,0,0,0,99,0
0,7483,27118,0,32462,0,12026,0,12846,15548,0,0,0,0,0,289,7012,0,3799,0,0,17139,16191,0,0,0,0,10448,259,0,1807,14218,3880,0,0,0,38328,0,0,443,866,0,0,12897,1899,1952,0,29292,14283,44449,0,0,4297,0,0,0,42225267,488,891732,0,633,0,1639,0,1240,0,26256,1585,68182,33750,0,0,0,0,0,210004,2766,0,6613,23394,0,95927,14754,10835,3359,0,0,0,700,0,83025,0,0,0,0,19543,2376,0,0
0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617,10913,0,0,0,271,0,0,0,0,0,0,8811196,36658,516148,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,585,1666,0,0,0,0,0,0,0,0
7103,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,12917708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104375,0,0,0,0,0,0,0,0,3970,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,0,33275,0,8815,0,0,0,0,0,0,0,0,0,1748,80733,0
257630,47944,72,2189,58262,0,3809,0,21448,0,16807,0,0,98,2713,46352,126278,0,23821,0,0,702865,0,0,0,0,70022,104422,0,0,0,2261,287665,379,0,127748,195906,2091,0,1616,0,416,14960,27418,0,0,0,24747,4104,544088,2075,151705,2390,0,0,0,0,0,0,0,0,0,30454,511,1898,3795,52403,6063,363782,258787,56460,259,11183,8440,38331,827208,300947,0,0,0,0,1073350,173561,1730,1410,15070,0,0,0,0,1696957,0,0,0,0,52236,180258,0,11867
0,0,7913,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,4762887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,571,0,0,0,0,0,0,0,0
